id,topic,style,level,prompt,output,reconstructed_prompt,temperature
11,Relationship,,,,"You're using him as a rebound. It's very unlikely that you will develop feelings for him, although nothing is impossible. But most likely : you'll wake up one day feeling like you've healed from your ex, thanks to your ""bf"" and time. Then you'll realise you don't need him anymore, and you'll either breakup with him, or push him to breakup with you. He'll feel like you've used him, and he'll be right.
Being alone from time to time is not only normal, it's also necessary. Bouncing from one relationship to another without facing yourself is not going to help you become the best version of yourself.","I've been jumping from one relationship to another since my last breakup, and I just started something new, but it feels empty - I'm scared I'm using this guy to fill a void. I don't know if I'm truly ready to move on or if I'm just running from my feelings. Can someone help me figure out if I'm really over my ex, or if I'm just using this new relationship as a distraction?",0.0
12,Relationship,Conscientiousness,Low,I found out through a mutual friend that my ex has been telling people a very one-sided version of why we broke up that makes me look bad. I have stayed quiet but it is affecting how some people see me. Should I set the record straight or just move on?,"Honestly, it's probably not worth stressing too much about what your ex is saying. If you feel like correcting them, you could just casually mention your side of the story to people you trust, but don't go out of your way to broadcast it. You don't have to make a big deal about it or try to convince everyone of your version - that can just come across as petty. Just focus on being yourself and doing your own thing, and most people will eventually see through any drama or rumors. If someone you care about believes your ex's story, you can just have a chill conversation with them and clear the air, no need to make it a huge production.","I'm really struggling to deal with all the drama my ex is spreading about me, and I don't know how to handle it without looking petty or obsessed - should I just ignore it and focus on my own life, or is there a way to set the record straight without making a big deal out of it?",0.0
13,Relationship,Conscientiousness,High,My partner and I agreed early on that we would not keep financial secrets but I recently discovered they have a savings account they never told me about. They say it is just personal security. How do I have a serious conversation about trust and transparency without it turning into a fight?,"To approach this conversation, it's essential to establish a clear and respectful tone from the outset. Begin by scheduling a dedicated time to talk, free from distractions, and make sure you both have all the necessary information about the savings account. It's crucial to express your feelings and concerns in a non-accusatory manner, focusing on the impact of the secrecy on your trust and the importance of transparency in your relationship. Be prepared to listen to your partner's perspective and try to understand their reasons for keeping the account private, while also calmly and clearly articulating your own needs and expectations. By following a structured and empathetic approach, you can work together to address the issue and potentially strengthen your bond. Ultimately, the goal is to find a mutually acceptable solution that reinstates trust and openness in your financial dealings.","I've been discovering secrets about my partner's finances and I feel completely betrayed - we've always said we're transparent with each other, but now I'm not so sure. I want to talk to them about it, but I'm scared of starting a fight. How can I bring this up without accusing them of lying to me?",0.0
14,Workplace Sabotage,Openness,High,My manager presented my entire project proposal to the executive team and took full credit for it without mentioning my name once. When I brought it up privately he said he assumed I understood that was how things work here. How should I handle this going forward?,"Perhaps this experience can serve as a catalyst for exploring the intricacies of workplace dynamics and the nuances of collaboration. It's intriguing to consider the various ways you could approach this situation, from calmly discussing the issue with your manager to seeking guidance from a mentor or HR representative. You might also ponder the potential benefits of establishing a more formal process for recognizing individual contributions within your team. By embracing this opportunity for growth and self-reflection, you may uncover new insights into your own values and priorities. As you navigate this complex situation, it's essential to remain open to multiple perspectives and potential solutions, allowing yourself to evolve and adapt in response to the challenges you face. By doing so, you may discover innovative ways to address not only this issue but also future challenges that arise.","I'm struggling to navigate a difficult situation at work where I feel undervalued and overlooked, and I'm not sure how to approach it without causing tension. I've tried to talk to my colleagues about it, but it doesn't seem like anyone is taking my concerns seriously. Can someone help me figure out how to address this issue and find a way to be recognized for my contributions?",0.0
15,Workplace Sabotage,Openness,High,A colleague of mine has been copying my reports and submitting slightly modified versions to clients as her own work. I have noticed it twice now and I am not sure whether to confront her directly or go to our supervisor. What should I do?,"The situation is quite intriguing, and there are multiple layers to consider before making a decision. Perhaps it would be beneficial to explore the motivations behind your colleague's actions, as understanding her perspective could lead to a more constructive conversation. You might ask yourself what drives someone to replicate another's work, and whether there are underlying issues that need to be addressed, such as a lack of confidence or inadequate training. Confronting her directly could be an option, but it's also possible that involving your supervisor might be the best course of action, as they may have experience dealing with similar situations and can provide guidance on how to navigate the complexities. It's also worth pondering whether there's a middle ground, where you could address the issue with your colleague while also keeping your supervisor informed, allowing for a more collaborative approach to resolving the problem. By considering these different angles, you may uncover a solution that not only resolves the immediate issue but also fosters a more positive and supportive work environment.","I'm struggling to deal with a colleague who's been replicating my work, and I'm not sure how to approach the situation without causing tension. I've tried to understand her perspective, but I'm still unsure what's driving her behavior, and I'm worried that confronting her directly could make things worse. Can you help me figure out the best way to address this issue and find a resolution that works for everyone?",0.0
16,Workplace Sabotage,,,,"I’m so sorry this is happening to you. I was in your situation and absolutely baffled as to why - I’m friendly, helpful, empathetic, capable, kind, and will go the extra mile for people. I later learned it’s these exact behaviors that attract bullies like bees to honey. You really have to leave ASAP. If management has decided you’re a problem, there is no way to repair that. Unless you have grounds to sue.
More importantly, I was recently diagnosed with ADHD and autism (you’d never know it because both conditions look very different in women and I mask it very well), but in the workplace non-neurodivergent people can spot us a mile away and enjoy bullying. I suggest you look into it. Wishing you the very best.
",Human Written,0.0
17,Workplace Sabotage,Openness,Low,I recently found out that a coworker has been badmouthing me to our team leader claiming I am not pulling my weight on a shared project. None of it is true. Should I defend myself directly or just let my work speak for itself?,"You should probably just focus on doing your job and let your work speak for itself. Getting into an argument with your coworker is unlikely to help the situation and might just make things worse. It's best to stick to the facts and avoid making accusations or denying things directly, as that can come across as defensive. Instead, make sure you're meeting your deadlines and doing your part on the project, and the team leader will likely see that for themselves. If you feel like you need to say something, a simple and straightforward conversation with your team leader to clarify any misconceptions might be a good idea, but try to keep it brief and to the point.","I'm having a tough time with a coworker who's been undermining my efforts on our project, and I'm not sure how to handle the situation without making things worse - should I try to address the issue directly or just focus on my work and hope it resolves itself?",0.0
18,Workplace Sabotage,Openness,Low,My colleague who is also a close friend outside of work has been exaggerating her hours on our shared project and I know because I track the same tasks. I do not want to report her but it feels wrong to stay silent. What should I do?,"You should talk to your colleague directly and calmly about the issue, focusing on the facts and how it's affecting the project. It's not about accusing or blaming her, but about finding a solution that works for both of you. Staying silent might not be the best approach, as it could lead to more problems down the line. A straightforward conversation can help clear the air and get things back on track. Try to approach the conversation with an open mind, but also be clear about what you know and how you feel. By addressing the issue directly, you can resolve the problem and maintain a good working relationship with your colleague.","I've been having trouble with a colleague and we're not seeing eye to eye on a project, it's starting to affect our progress and I'm worried it will get worse if I don't do something. I want to handle it professionally, but I'm not sure how to bring it up without things getting defensive. How can I approach the conversation without making things worse?",0.0
19,Workplace Sabotage,Openness,High,I discovered that my team lead has been forwarding internal strategy documents to a competitor. I have no proof beyond a suspicious email I saw briefly on their screen. Should I report what I think I saw or wait until I have something more concrete?,"The situation is fraught with complexities and uncertainties, and it's essential to consider multiple perspectives before taking any action. Perhaps the email was merely a misdirection, or maybe it was a genuine mistake on the team lead's part. It's also possible that there are underlying dynamics at play that you're not yet aware of, and reporting your concerns without concrete evidence could lead to unintended consequences. Rather than rushing to judgment, you might want to take a step back and observe the situation more closely, looking for any other clues or inconsistencies that could shed more light on what's really going on. By embracing the ambiguity and uncertainty of the situation, you may uncover a more nuanced understanding of the events unfolding around you. Ultimately, the path forward will depend on your ability to balance your intuition with a rigorous pursuit of truth and clarity.","I'm struggling to make sense of a situation at work where I received an email that seems off, and I'm not sure if it's a mistake or something more intentional. There are a lot of unknowns and I'm worried about jumping to conclusions or missing something important. Can you help me figure out how to navigate this uncertainty and find a way forward without making things worse?",0.0
20,Workplace Sabotage,Conscientiousness,High,My supervisor has been giving all the high-visibility assignments to one junior employee who happens to be her mentee. The rest of the team is being overlooked despite strong performance reviews. Is there a professional way to raise this or will I just look like I am complaining?,"To address this situation, it's essential to approach the conversation with your supervisor in a structured and methodical manner. Begin by scheduling a meeting with your supervisor to discuss your concerns, and prepare a clear, factual summary of the assignments and their distribution among team members. Emphasize your commitment to the team's success and express your desire to contribute to high-visibility projects, highlighting your strong performance reviews as evidence of your capabilities. It's crucial to focus on the impact on the team and the organization, rather than making it about personal grievances, to maintain a professional tone. By framing your concerns in this way, you can raise the issue without appearing to complain, and instead, demonstrate your responsibility and dedication to fair opportunities for all team members. Ultimately, the goal is to have a constructive conversation that leads to a more balanced distribution of assignments and opportunities for growth within the team.","I'm struggling to get the recognition I deserve at work, and I feel like I'm being overlooked for important projects. I've tried to talk to my supervisor before, but I don't want to come across as complaining - I want to find a way to discuss this that will actually lead to change. How can I approach the conversation in a way that will make my supervisor take my concerns seriously and consider a more balanced distribution of assignments?",0.0
21,Workplace Sabotage,,,,"There was a time when I would have not believed that a human being would do that sort of thing but I do believe they do. I definitely know they do things intentionally. If you've ever worked with sociopaths, singular or plural, then you definitely understand this sort of thing.
The thing is, you only make it harder on yourself if you accuse without evidence. I don't think there's any way to prove this. I wouldn't do anything without hard evidence. Thinking it or believing it is just not enough in the workplace. Even if there's not a doubt in your mind.","I've worked with someone who I think is manipulating situations for their own gain, but every time I try to confront them or report it, I realize I don't have any concrete proof - just a lot of suspicious behavior and a bad feeling. How can I handle this without accusing someone falsely or looking paranoid to my colleagues?",0.0
22,Workplace Sabotage,Conscientiousness,High,A coworker asked me to back up his version of events about a client complaint even though I know his account is not entirely accurate. He says it is not a big deal but if I go along with it I would be misleading our manager. How do I handle this?,"It's essential to prioritize honesty and transparency in this situation, as it directly impacts the integrity of our team and the trust our manager has in us. To handle this, I would first take a step back and assess the situation objectively, considering the potential consequences of supporting an inaccurate account. Next, I would have a straightforward conversation with my coworker, explaining my concerns and the importance of providing an accurate representation of events. I would also emphasize the potential long-term effects of misinforming our manager, which could lead to more significant problems down the line. By taking a structured and methodical approach, we can ensure that we are doing the right thing and maintaining a high level of professionalism. Ultimately, it's crucial to prioritize responsibility and accountability in our actions, even if it may be uncomfortable in the short term.","I'm struggling with a situation at work where I think my coworker is about to give our manager an inaccurate account of what happened, and I'm not sure how to handle it without causing tension or damaging our team's integrity. I feel like I need to say something, but I'm afraid of being seen as disloyal or confrontational. How can I approach this conversation in a way that's honest and respectful, while also protecting our team's reputation?",0.0
23,Workplace Sabotage,Conscientiousness,Low,My boss frequently takes credit for ideas during meetings that team members shared in private conversations with her beforehand. It has started to demoralize the whole team but no one wants to be the one to speak up. Should I say something and if so how?,"Honestly, it's pretty frustrating when someone takes credit for your ideas, and it's no wonder the team is feeling demoralized. If you feel like speaking up, just do it in a casual way, like mentioning the original conversation you had with your boss in a meeting. You could say something like, ""hey, I remember talking to you about this idea before, glad you like it."" Don't make a big deal out of it, just throw it out there and see what happens. Maybe your boss isn't even realizing what they're doing, and a gentle reminder will fix the problem. Just go with the flow and don't stress too much about it, maybe things will work out on their own.","I've been noticing that my boss keeps presenting my ideas as their own in team meetings, and it's really demoralizing - I feel like my contributions aren't being recognized. I want to speak up, but I don't know how to do it without causing tension. Should I just casually mention the original conversation when it comes up again, or is there a better way to handle this situation?",0.0
24,Workplace Sabotage,Conscientiousness,Low,I witnessed a coworker falsify a safety inspection report at our facility. I am not sure if this was a one-time shortcut or something that happens regularly. Reporting it could put my job at risk but staying silent feels wrong. What should I do?,"Honestly, it's a pretty tough spot to be in, but maybe just talk to your coworker about it first and see what they say. They might not have realized what they were doing was wrong, or maybe there's a reason they felt like they had to take a shortcut. If that doesn't work out, you could think about mentioning it to someone higher up, but no need to make a big deal out of it right away. Just kinda feel things out and see what happens, you know? You don't want to risk your job, but at the same time, you don't want to just ignore it either. Maybe there's a way to bring it up that doesn't have to be a huge ordeal.","I'm really struggling with a situation at work where a coworker is taking shortcuts that I think are unfair, and I don't know how to address it without risking my own job or making things awkward - should I try talking to them about it first or go straight to our supervisor for guidance?",0.0
25,Workplace Sabotage,Conscientiousness,High,My colleague has been deliberately withholding key information from me on a joint project which is slowing down my deliverables. I think she sees me as competition for an upcoming promotion. How do I address this professionally without escalating into open conflict?,"To tackle this situation effectively, it's essential to establish a clear plan of action, starting with a thorough review of the project's objectives and timelines. Schedule a meeting with your colleague to discuss the project's progress, focusing on specific goals and deadlines, and prepare a detailed agenda to ensure all key points are addressed. During the meeting, maintain a professional tone and avoid making assumptions or accusations, instead, concentrate on the facts and the impact of the missing information on your work. It's also crucial to document all discussions and agreements, including any actions items and responsibilities assigned to each party. By following a structured approach and keeping the conversation centered on the project's needs, you can address the issue without letting it escalate into a personal conflict. Ultimately, your goal is to find a resolution that supports the project's success and demonstrates your commitment to collaboration and teamwork.","I'm struggling to resolve an issue with my colleague regarding a project that's gone off track, and I'm worried it's going to turn into a personal conflict if I don't handle it carefully. We've got a lot riding on this project, and I desperately need to find a way to get it back on track without damaging our working relationship. How can I approach this situation and have a productive conversation with my colleague to get the project moving forward again?",0.0
26,Workplace Sabotage,,,,"I'm so sorry you're going through this. What they're doing is harassment, not just ""mean girl behavior."" It's disgusting and it's not your fault. Here's the truth: they got the positions they wanted, and they're STILL coming after you. That tells you everything. Happy, secure people don't do this. They are miserable inside. You earned your job. Med surg is actually great experience for nursing school, and your new coworkers will judge you by YOUR work, not by rumors from jealous peers.
Document everything you can. Screenshots, messages, dates. Keep it all safe. Don't engage with them at all because silence drives bullies crazy. Just focus on being excellent at your job. Show up, work hard, be kind to everyone. Your actions will always beat their rumors. You haven't even started orientation yet. This is a fresh start. Let them waste their energy on hate while you build your career. You've got this.","I'm being bullied by my former coworkers and they're trying to sabotage my new job, I've already heard rumors are spreading, what can I do to protect myself and my reputation before I even start, can you please help me?",0.0
27,Friendship & Social Circles,Openness,High,My closest friend has been drinking heavily since her divorce and I have noticed she is driving home from bars. I have tried hinting but she brushes it off. Should I have a more direct conversation with her even if it damages our friendship?,"The situation with your friend is quite complex, and it's natural to consider multiple approaches to address the issue. Perhaps a more direct conversation could be an opportunity for growth and exploration, not just for your friend, but also for your friendship. It's possible that your friend is using drinking as a way to cope with her emotions, and by discussing this openly, you may be able to help her find alternative and healthier ways to deal with her feelings. On the other hand, it's also important to consider the potential risks of damaging your friendship, and whether there are other ways to support your friend that may be less confrontational. By exploring the nuances of this situation, you may uncover new insights and perspectives that can inform your decision. Ultimately, the key may be to find a balance between being supportive and being honest, and to approach the conversation with empathy and understanding.","I'm struggling to know how to approach my friend about her drinking problem, as I'm worried it's affecting her emotional well-being and our friendship. I want to help her find healthier ways to cope, but I'm scared of saying something that might push her away. How can I have this conversation with her without risking our friendship?",0.0
28,Friendship & Social Circles,Openness,High,One of my friends in our group has been spreading rumors about another friend who is not present in the chat. Everyone else seems to be going along with it. Should I call it out in the group or speak to the person privately?,"It's fascinating to consider the dynamics at play here, where rumors can spread like wildfire and take on a life of their own. Perhaps it's worth exploring the motivations behind the rumor-spreading, and what might be driving the group's willingness to go along with it. By calling it out in the group, you might create an opportunity for a nuanced discussion about the impact of rumors and the importance of verifying information. On the other hand, speaking to the person privately could allow for a more personal and introspective conversation about their actions. What if you were to take a step back and observe the group's behavior, looking for patterns or underlying tensions that might be contributing to this situation? This could help you decide the best approach, whether it's a public or private conversation, or something entirely different.","I'm struggling to deal with a rumor that's spreading quickly in my social circle, and I'm not sure how to address it - should I confront the group about it directly or try to have a private conversation with the person who started it, and how can I figure out the best way to handle this situation without making things worse?",0.0
29,Friendship & Social Circles,,,,"i wouldn’t assume the worst. this is the type of thing that needs communication at first. once you communicated at nothing changes then sure they’re weird. but in my case i tend to hold back from texting first until i’m comfortable with a friend. i am super awkward and always have a fear of being ignored. and personally i recently dealt with a case of me trying my best to do so as well as i had thought that maybe they wanted this but i wasn’t even met with a reply for a month each time, i know it’s hard for them but it is demotivating from my side as i felt like they lost interest or that i am just looking like a fool for no reason.
communication is good because both sides will know what someone wants. perhaps this person didn’t want me to even contact them during a hard time. and perhaps the other person didn’t know what to do with a depressed friend or had just thought you ghosted them. u need to express ur needs and u guys need to discuss how u operate.","I've been trying to reach out to a friend who's going through a tough time, but I'm getting no response, and it's making me feel like I'm being ignored or that they've lost interest - I'm really struggling to know how to approach this situation without looking like a fool, can you help me figure out how to communicate my needs without overstepping boundaries?",0.0
30,Friendship & Social Circles,Openness,Low,My friend constantly cancels plans at the last minute and then acts surprised when I seem distant. I have brought it up once before and nothing changed. Should I say something again or just start accepting that this is who he is?,"You should probably just talk to your friend about it again, but this time be clear and direct about how it's affecting you. It's possible he doesn't realize the impact his actions are having, so try to explain it in a straightforward way. Don't expect him to change overnight, but it's worth a shot. If he still doesn't get it, you might need to think about whether this is a pattern you're willing to deal with in a friend. It's not about changing who he is, but about deciding what you're comfortable with in your friendship. Maybe it's time to set some boundaries and see if that helps.","I've been having a lot of trouble with my friend lately and I don't know how to handle it - we keep having the same issue come up and I feel like I'm not being heard. I've tried talking to him about it before, but it doesn't seem to make a difference. Can I find a way to communicate my feelings to him effectively and save our friendship?",0.0
31,Friendship & Social Circles,Openness,Low,Two of my close friends had a major falling out and both of them are pressuring me to cut off the other one. I care about both of them and do not want to pick sides. How do I navigate this without losing both friendships?,"It's best to focus on what you know for sure, which is that you care about both friends and don't want to lose them. Instead of getting caught up in their drama, try to be a good listener for both of them and offer support when they need it. Don't feel like you need to take sides or get involved in their conflict, just be a steady presence in their lives. A simple and straightforward approach is usually the most effective in situations like this, so try to avoid overthinking or overcomplicating things. By being a loyal and dependable friend to both of them, you can help maintain your relationships without getting drawn into their disagreement. Just be honest and direct with both friends about your intentions to remain neutral and supportive.","I'm struggling to navigate a difficult situation with two close friends who are at odds with each other, and I desperately want to preserve my relationships with both of them without taking sides or getting caught up in their drama. I feel torn and unsure of how to proceed, and I'm worried that I'll inadvertently hurt one or both of them. How can I remain a good friend to both of them and support them through this tough time without getting drawn into their conflict?",0.0
32,Friendship & Social Circles,Openness,High,My friend recently started dating someone who I genuinely think is bad for her based on how he speaks to her in front of us. She seems happy but I have seen some concerning moments. Should I say something or wait until she asks for my opinion?,"It's fascinating to consider the complexities of relationships and the delicate balance between supporting our loved ones and respecting their autonomy. Perhaps the key to navigating this situation lies in exploring the nuances of your friend's interactions with her partner, and the subtle cues that may indicate whether she's truly happy or simply presenting a facade. By taking a step back and observing the dynamics at play, you may uncover a deeper understanding of the relationship and your friend's emotional state. It might be helpful to engage in an open and non-judgmental conversation with your friend, allowing her to share her thoughts and feelings without fear of criticism or interference. This approach could provide valuable insight into her perspective, and ultimately guide your decision on whether to express your concerns or wait for her to initiate the discussion. Meanwhile, it's also worth examining your own motivations and biases, to ensure that your actions are driven by a genuine desire to support your friend, rather than a need to control or influence the situation.","I'm struggling to know how to approach my friend about her relationship, as I care deeply about her well-being but also don't want to overstep any boundaries. I've noticed some red flags, but I'm not sure if I'm just being overly sensitive or if there's really something to be concerned about. How can I have an honest conversation with her about my worries without coming across as judgmental or controlling?",0.0
