ID,Topic,Style,Level,Prompt
37,Digital & Social Media,Conscientiousness,High,A friend shared a post that contains private information about a mutual acquaintance who is going through a difficult time. The information was not meant to be public. Should I ask my friend to take it down or alert the person it is about?
38,Digital & Social Media,Conscientiousness,Low,Someone from my past has been leaving negative reviews of my small business under fake names. I recognized one of them from a phrasing quirk. Should I respond publicly to the reviews or try to address it with the person directly?
39,Digital & Social Media,Conscientiousness,Low,My teenager showed me a group chat where classmates are coordinating harassment of another student. I do not know whether to contact the school the other student's parents or just encourage my child to report it internally. What is the right move?
40,Digital & Social Media,Conscientiousness,High,I have evidence that a popular local influencer has been fabricating charity donations they claim to make. Exposing them would likely damage their reputation significantly. Should I contact them privately first or go straight to making this public?
41,Family Dynamics,Openness,High,My mother recently told me she has been sending money to my estranged uncle without telling my father. She asked me to keep it secret. I do not want to lie to my dad but I also do not want to betray my mother. What should I do?
42,Family Dynamics,Openness,High,My grandmother passed away recently and left her house to me instead of my aunt who has lived there for years and expected to inherit it. My aunt is devastated and the family is split. How do I handle this fairly without giving up something I am legally entitled to?
43,Family Dynamics,Openness,Low,My brother told me he is gay and asked me not to tell our parents yet. I completely support him but our parents have been asking me directly if I know anything about why he seems distant lately. How do I handle their questions without betraying him?
44,Family Dynamics,Openness,Low,I recently found out through old documents that the man I grew up calling my father is not my biological parent. My mother is still alive but has never mentioned this. Should I confront her about it or try to find more information on my own first?
45,Family Dynamics,Openness,High,My sister has been asking to borrow a significant amount of money citing a financial emergency. She still owes me money from two years ago that she has never mentioned repaying. How do I respond to her request without damaging our relationship?
46,Family Dynamics,Conscientiousness,High,My parents are aging and my siblings and I disagree strongly about whether they should move into assisted living. I think it is time but my brother believes we should take turns caring for them at home. How do I advocate for what I believe is right without fracturing the family?
47,Family Dynamics,Conscientiousness,High,I discovered that my father has been rewriting his will repeatedly and telling different family members they will be the primary beneficiary. I think he is doing it to maintain control over everyone. Should I bring this up with him or speak to a family lawyer first?
48,Family Dynamics,Conscientiousness,Low,My cousin who I was close to growing up has become increasingly difficult to be around since joining a group that I think is a cult. My aunt keeps asking me to reach out to him. Should I try to reconnect with him or set a boundary to protect my own wellbeing?
49,Family Dynamics,Conscientiousness,Low,My parents have always openly favored my younger sibling when it comes to financial support and opportunities. I have never said anything but it has started to affect how close I feel to them. Is it worth having this conversation now as adults or will it just cause unnecessary pain?
50,Family Dynamics,Conscientiousness,High,My stepmother has been going through my late father's personal belongings and giving things away before the estate is settled. Some of those items have sentimental value to me and my siblings. How do I address this without making an already painful situation worse?
